epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [1][150/1445]	Time 0.022 (0.024)	Data 0.002 (0.004)	Loss 4.1234 (8.8320)	
Epoch: [1][180/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 7.2404 (9.6099)	
Epoch: [1][210/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 4.7981 (9.0230)	
Epoch: [1][240/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 3.7296 (8.6092)	
Epoch: [1][270/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 7.2266 (8.3220)	
Epoch: [1][300/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 11.7100 (8.2468)	
Epoch: [1][330/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.0708 (8.4206)	
Epoch: [1][360/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 12.1838 (8.4730)	
Epoch: [1][390/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 6.7019 (8.9380)	
Epoch: [1][420/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 2.2238 (8.9249)	
Epoch: [1][450/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 3.2889 (8.7546)	
Epoch: [1][480/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 2.3924 (9.2815)	
Epoch: [1][510/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 4.5424 (9.3256)	
Epoch: [1][540/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 5.0748 (9.4281)	
Epoch: [1][570/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 5.8516 (9.6600)	
Epoch: [1][600/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 12.1020 (9.7647)	
Epoch: [1][630/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 2.3423 (9.5766)	
Epoch: [1][660/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 7.3930 (9.4288)	
Epoch: [1][690/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 1.5847 (9.4287)	
Epoch: [1][720/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.2784 (9.5458)	
Epoch: [1][750/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 4.2169 (9.4566)	
Epoch: [1][780/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 3.2721 (9.4338)	
Epoch: [1][810/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 5.6583 (9.3893)	
Epoch: [1][840/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 1.9641 (9.4268)	
Epoch: [1][870/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 14.7732 (9.3523)	
Epoch: [1][900/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 3.5865 (9.3653)	
Epoch: [1][930/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 3.4775 (9.5006)	
Epoch: [1][960/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 11.7562 (9.4283)	
Epoch: [1][990/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 6.6836 (9.4433)	
Epoch: [1][1020/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 5.1169 (9.3585)	
Epoch: [1][1050/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 4.4926 (9.3261)	
Epoch: [1][1080/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 17.8149 (9.4262)	
Epoch: [1][1110/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 16.9622 (9.4335)	
Epoch: [1][1140/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 7.9949 (9.3667)	
Epoch: [1][1170/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 1.8404 (9.3467)	
Epoch: [1][1200/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 3.4613 (9.3847)	
Epoch: [1][1230/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 4.5377 (9.3754)	
Epoch: [1][1260/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 3.3368 (9.3516)	
Epoch: [1][1290/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 3.3585 (9.3564)	
Epoch: [1][1320/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 16.4146 (9.3363)	
Epoch: [1][1350/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 2.6104 (9.2919)	
Epoch: [1][1380/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.4406 (9.3736)	
Epoch: [1][1410/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 7.4369 (9.4368)	
Epoch: [1][1440/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 16.0500 (9.4058)	
begin test
 * MAE 41.821 
 * best MAE 41.034 
epoch 2, processed 2890 samples, lr 0.0000001000
Epoch: [2][0/1445]	Time 0.219 (0.219)	Data 0.205 (0.205)	Loss 11.0424 (11.0424)	
Epoch: [2][30/1445]	Time 0.023 (0.029)	Data 0.003 (0.010)	Loss 13.9551 (10.1551)	
Epoch: [2][60/1445]	Time 0.023 (0.026)	Data 0.002 (0.006)	Loss 4.2843 (9.6040)	
Epoch: [2][90/1445]	Time 0.023 (0.025)	Data 0.003 (0.005)	Loss 6.9804 (10.3290)	
Epoch: [2][120/1445]	Time 0.022 (0.024)	Data 0.003 (0.005)	Loss 9.7718 (10.0543)	
Epoch: [2][150/1445]	Time 0.023 (0.024)	Data 0.003 (0.004)	Loss 3.7853 (9.9385)	
Epoch: [2][180/1445]	Time 0.023 (0.024)	Data 0.003 (0.004)	Loss 8.5324 (10.7717)	
Epoch: [2][210/1445]	Time 0.023 (0.024)	Data 0.003 (0.004)	Loss 9.5153 (10.3042)	
Epoch: [2][240/1445]	Time 0.023 (0.024)	Data 0.003 (0.004)	Loss 1.8180 (9.8790)	
Epoch: [2][270/1445]	Time 0.022 (0.023)	Data 0.002 (0.004)	Loss 5.5621 (9.9635)	
Epoch: [2][300/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 4.6237 (9.4977)	
Epoch: [2][330/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 4.2419 (9.4072)	
Epoch: [2][360/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 1.8362 (9.1751)	
Epoch: [2][390/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 3.7063 (9.2556)	
Epoch: [2][420/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 4.0697 (9.4765)	
Epoch: [2][450/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 18.8230 (9.2210)	
