epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [1][150/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.0633 (7.2674)	
Epoch: [1][180/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.1615 (6.7570)	
Epoch: [1][210/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 2.3602 (6.5258)	
Epoch: [1][240/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 1.7732 (6.8960)	
Epoch: [1][270/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 1.6862 (6.7270)	
Epoch: [1][300/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 3.7556 (6.7212)	
Epoch: [1][330/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.4431 (6.6936)	
Epoch: [1][360/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 1.3216 (6.7781)	
Epoch: [1][390/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 1.2704 (7.3405)	
Epoch: [1][420/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 3.9625 (7.1650)	
Epoch: [1][450/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 5.0654 (7.0146)	
Epoch: [1][480/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 3.1914 (7.1480)	
Epoch: [1][510/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 3.6042 (7.2827)	
Epoch: [1][540/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 3.4373 (7.2690)	
Epoch: [1][570/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 8.3967 (7.2080)	
Epoch: [1][600/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 1.0665 (7.1190)	
Epoch: [1][630/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 2.3793 (7.0406)	
Epoch: [1][660/1445]	Time 0.023 (0.023)	Data 0.003 (0.003)	Loss 1.6619 (7.0475)	
Epoch: [1][690/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 1.8133 (7.0213)	
Epoch: [1][720/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 2.3488 (6.9723)	
Epoch: [1][750/1445]	Time 0.023 (0.023)	Data 0.003 (0.002)	Loss 1.6997 (6.9180)	
Epoch: [1][780/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 3.2124 (7.0670)	
Epoch: [1][810/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 4.7801 (6.9985)	
Epoch: [1][840/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 4.8039 (6.9690)	
Epoch: [1][870/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 7.2094 (6.8873)	
Epoch: [1][900/1445]	Time 0.022 (0.023)	Data 0.003 (0.002)	Loss 5.4096 (6.8188)	
Epoch: [1][930/1445]	Time 0.023 (0.023)	Data 0.003 (0.002)	Loss 3.5048 (6.9112)	
Epoch: [1][960/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 1.3252 (7.0028)	
Epoch: [1][990/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 11.3698 (7.0111)	
Epoch: [1][1020/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 1.9631 (6.9423)	
Epoch: [1][1050/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 1.2009 (6.8814)	
Epoch: [1][1080/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 1.5800 (6.8573)	
Epoch: [1][1110/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 6.9461 (6.8110)	
Epoch: [1][1140/1445]	Time 0.023 (0.022)	Data 0.002 (0.002)	Loss 6.9425 (6.7480)	
Epoch: [1][1170/1445]	Time 0.022 (0.022)	Data 0.002 (0.002)	Loss 7.5732 (6.6973)	
Epoch: [1][1200/1445]	Time 0.022 (0.022)	Data 0.002 (0.002)	Loss 1.1586 (6.7602)	
Epoch: [1][1230/1445]	Time 0.022 (0.022)	Data 0.002 (0.002)	Loss 1.6195 (6.8040)	
Epoch: [1][1260/1445]	Time 0.022 (0.022)	Data 0.002 (0.002)	Loss 5.1358 (6.8857)	
Epoch: [1][1290/1445]	Time 0.023 (0.022)	Data 0.003 (0.002)	Loss 1.4960 (6.8489)	
Epoch: [1][1320/1445]	Time 0.022 (0.022)	Data 0.002 (0.002)	Loss 4.0137 (6.8717)	
Epoch: [1][1350/1445]	Time 0.022 (0.022)	Data 0.003 (0.002)	Loss 2.0098 (6.8506)	
Epoch: [1][1380/1445]	Time 0.023 (0.022)	Data 0.002 (0.002)	Loss 1.5672 (6.9067)	
Epoch: [1][1410/1445]	Time 0.022 (0.022)	Data 0.003 (0.002)	Loss 1.7087 (6.9923)	
